u,v,key,name,highway,length,maxspeed,lanes,oneway,geometry_wkt
249783308,1869716959,0,Panchkuian Road,secondary,645.5490000000001,,,True,"LINESTRING (77.2170406 28.6343031, 77.2168596 28.634322, 77.2158058 28.6349454, 77.2145241 28.6356958, 77.2144632 28.6357313, 77.2116287 28.6373829, 77.2116086 28.6373946, 77.2115075 28.6374535)"
249783313,249783316,0,Outer Circle,secondary,100.48899999999999,,4,True,"LINESTRING (77.2188663 28.6355861, 77.2191658 28.6356418, 77.2194699 28.6356738, 77.2196659 28.6357004, 77.2197623 28.6357135, 77.21982 28.6357191, 77.2198833 28.6357191)"
249783316,267198392,0,Radial Road 4,tertiary,90.36,,3,True,"LINESTRING (77.2198833 28.6357191, 77.2198719 28.6355209, 77.2198689 28.6354683, 77.2198418 28.6349975, 77.2198366 28.6349075)"
249783316,5681296953,0,Outer Circle,secondary,159.888,,4,True,"LINESTRING (77.2198833 28.6357191, 77.2199296 28.6357173, 77.2199976 28.6357078, 77.2200349 28.6356967, 77.2204439 28.6355749, 77.2210487 28.6353948, 77.2213076 28.6353155, 77.2213537 28.6353014, 77.221439 28.6352759)"
249786848,5681450598,0,Windsor Place,secondary,11.984,,,True,"LINESTRING (77.2188628 28.6204248, 77.2189846 28.6204112)"
249786848,5792664581,0,Janpath,secondary,631.054,,2,True,"LINESTRING (77.2188628 28.6204248, 77.2188821 28.6207224, 77.2189177 28.621269, 77.2189266 28.6214073, 77.2189742 28.6221388, 77.2189943 28.6224484, 77.2190388 28.6231327, 77.2190624 28.6234956, 77.219113 28.6242755, 77.2191231 28.624431, 77.2191268 28.624488, 77.2191374 28.6246501, 77.2191539 28.6249036, 77.2191709 28.6251657, 77.2191835 28.6253602, 77.219231 28.6260908)"
249786894,1309626396,0,Rotary Number 5,secondary,29.131,,,True,"LINESTRING (77.2268125 28.6197235, 77.2268212 28.6198105, 77.2268572 28.6198919, 77.2269176 28.6199613)"
249786895,6702715249,0,Jaswant Singh Road,tertiary,183.33700000000002,,,True,"LINESTRING (77.2268773 28.6195601, 77.2267829 28.6195302, 77.2266787 28.6194894, 77.226412 28.6193419, 77.22605 28.6191706, 77.2252922 28.6188356, 77.2252353 28.618813, 77.2252111 28.6188037)"
249786895,249786894,0,Rotary Number 5,secondary,19.430999999999997,,,True,"LINESTRING (77.2268773 28.6195601, 77.2268317 28.6196378, 77.2268125 28.6197235)"
249786899,249786900,0,Mandi House Chowk,secondary,24.808999999999997,,,True,"LINESTRING (77.2314813 28.6258484, 77.2315084 28.6258989, 77.2315425 28.625946, 77.231583 28.6259889, 77.2316293 28.6260271)"
249786899,267251590,0,Barakhamba Road,secondary,306.605,,,True,"LINESTRING (77.2314813 28.6258484, 77.2314405 28.6259076, 77.2313858 28.6259545, 77.2312497 28.6260382, 77.2298482 28.626853, 77.2288976 28.6274035)"
249786900,5487856796,0,Mandi House Chowk,secondary,6.357,,,True,"LINESTRING (77.2316293 28.6260271, 77.231682 28.6260607)"
249786902,267249940,0,Mandi House Chowk,secondary,12.707,,,True,"LINESTRING (77.2321199 28.6261047, 77.2321799 28.6260825, 77.2322361 28.6260537)"
249786916,1309626359,0,,secondary,120.232,,4,True,"LINESTRING (77.2340546 28.6107005, 77.2338561 28.6106106, 77.232948 28.6102259)"
249786918,6717668047,0,Pandara Road,secondary,179.417,,2,True,"LINESTRING (77.2313754 28.6095354, 77.2310992 28.6093014, 77.2309666 28.6091099, 77.2309367 28.6090639, 77.2309165 28.6087461, 77.2309057 28.6083552, 77.2308889 28.6080654)"
249786918,249791377,0,,secondary,98.94,,5,True,"LINESTRING (77.2313754 28.6095354, 77.2310527 28.6094695, 77.2307174 28.6094717, 77.2303913 28.6095756)"
249786921,6643020576,0,Akbar Road,secondary,108.452,,2,True,"LINESTRING (77.2281653 28.6109165, 77.2278314 28.6109943, 77.2275907 28.6110134, 77.227527 28.6110066, 77.227277 28.6109799, 77.2270722 28.6109488)"
249786921,314506006,0,,secondary,102.26100000000001,,4,True,"LINESTRING (77.2281653 28.6109165, 77.2278711 28.6112049, 77.227724 28.6114271, 77.2276011 28.6116806)"
249791204,267196276,0,Kartavya Path,secondary,612.211,,4,False,"LINESTRING (77.2122049 28.6137551, 77.2184671 28.6134521)"
249791204,12105998311,0,Kartavya Path,secondary,9.56,,4,False,"LINESTRING (77.2122049 28.6137551, 77.2121071 28.6137596)"
249791204,6720409790,0,Rafi Ahmed Kidwai Marg,secondary,98.86999999999999,,6,True,"LINESTRING (77.2122049 28.6137551, 77.2121876 28.6135518, 77.2121435 28.6128676)"
249791377,3007872805,0,,secondary,87.555,,5,True,"LINESTRING (77.2303913 28.6095756, 77.2303447 28.6096034, 77.2296495 28.6100182)"
249791853,3007872810,0,,secondary,37.377,,5,True,"LINESTRING (77.2291783 28.6102956, 77.2291478 28.6103166, 77.2288596 28.6104817)"
249791934,6742341898,0,,tertiary,8.954,,,True,"LINESTRING (77.2094715 28.6190168, 77.2095424 28.6189657)"
249791934,5792664486,0,Sansad Marg,tertiary,140.6,,,True,"LINESTRING (77.2094715 28.6190168, 77.2096351 28.6192383, 77.2098801 28.61957, 77.2102472 28.6200822)"
249823983,1811709155,0,Palam Marg,secondary,51.115,,3,True,"LINESTRING (77.1756519 28.5559242, 77.1755089 28.5559231, 77.1752156 28.5561358)"
249823983,2009111992,0,Munirka Flyover,primary,771.617,60,3,True,"LINESTRING (77.1756519 28.5559242, 77.1753343 28.5561502, 77.1752787 28.5561887, 77.1750054 28.5563778, 77.1742946 28.5568954, 77.1735221 28.5574655, 77.1722474 28.5583988, 77.1719772 28.5586266, 77.1717615 28.5588081, 77.1707316 28.5597557, 77.1697972 28.5605703)"
249824093,1986214792,0,,primary,15.36,,,True,"LINESTRING (77.1279067 28.5671142, 77.1277657 28.567053)"
249824093,1986214763,0,Northern Access Rd,secondary,83.737,,4,True,"LINESTRING (77.1279067 28.5671142, 77.1279788 28.5670152, 77.1280203 28.5669567, 77.1280498 28.5668939, 77.1281087 28.5666644, 77.1281147 28.5665496, 77.1281087 28.5664012)"
249824096,1478655838,0,,primary,347.842,,,True,"LINESTRING (77.1272739 28.5675746, 77.1271684 28.5676572, 77.1266027 28.5680537, 77.1262313 28.5682595, 77.1258078 28.5684768, 77.1250632 28.5687924, 77.1245798 28.5689972, 77.1242052 28.5691293)"
250078355,312102914,0,Mahatma Gandhi Marg,primary,364.20500000000004,60,,True,"LINESTRING (77.2060532 28.5694201, 77.2059408 28.5694263, 77.2051899 28.5694675, 77.2039903 28.5695333, 77.2039342 28.5695369, 77.2023341 28.5696608)"
250078357,563097638,0,Aurobindo Marg,trunk,163.47899999999998,,,True,"LINESTRING (77.2090352 28.5717114, 77.2091702 28.5726114, 77.2092203 28.5731721)"
250078364,3204247268,0,,residential,5.154,,,False,"LINESTRING (77.1696783 28.5515724, 77.1696496 28.5515335)"
250078364,11027474291,0,Baba Gang Nath Marg,tertiary,56.94800000000001,,,True,"LINESTRING (77.1696783 28.5515724, 77.1699988 28.5513747, 77.1701572 28.5512803)"
250102742,3746076230,0,Max Mueller Marg,secondary,10.208,,,True,"LINESTRING (77.2232305 28.5972676, 77.223175 28.5973454)"
250102742,3746076227,0,Rajesh Pilot Marg,secondary,31.075,,,True,"LINESTRING (77.2232305 28.5972676, 77.2229898 28.5971264, 77.2229658 28.5971124)"
251685582,413757303,0,Old Delhi Gurgaon Road,secondary,14.173,,,True,"LINESTRING (77.0921879 28.5378593, 77.092228 28.5379818)"
251685582,418806014,0,,tertiary,13.667,,2,False,"LINESTRING (77.0921879 28.5378593, 77.0923144 28.5378068)"
251685582,9913784106,0,,tertiary,223.144,,2,True,"LINESTRING (77.0921879 28.5378593, 77.0920138 28.5379287, 77.0912631 28.5380931, 77.0907243 28.5381997, 77.0900456 28.5382698, 77.0899623 28.5382778)"
251685586,3742403432,0,Old Delhi Gurgaon Road,secondary,284.655,,,True,"LINESTRING (77.0912246 28.5356918, 77.0897736 28.5334718)"
251685586,6436639396,0,,secondary_link,9.751,,,False,"LINESTRING (77.0912246 28.5356918, 77.091134 28.5357286)"
251691509,271335733,0,,trunk_link,26.441,,1,False,"LINESTRING (77.1387689 28.4894833, 77.1389122 28.4892816)"
251691509,4154369627,0,Acharya Shri Tulsi Marg,trunk,143.343,50,2,True,"LINESTRING (77.1387689 28.4894833, 77.1397693 28.4899689, 77.1398732 28.4900145, 77.140059 28.4900962)"
266378008,2009302329,0,Abdul Gaffar Khan Marg,primary,9.266,,2,True,"LINESTRING (77.155435 28.5247292, 77.1554932 28.5246634)"
266378008,2009302351,0,Bhagwan Mahavir Marg,tertiary,180.63,,2,True,"LINESTRING (77.155435 28.5247292, 77.1555505 28.5248734, 77.1556091 28.524963, 77.1556549 28.5250527, 77.1557169 28.5251876, 77.1557764 28.5253259, 77.1558195 28.5254817, 77.1558313 28.5255661, 77.1558515 28.5257875, 77.155882 28.5262724)"
266378046,9861651444,0,Abdul Gaffar Khan Marg,residential,116.479,,,False,"LINESTRING (77.1506017 28.527459, 77.1504878 28.5275086, 77.1495818 28.5280007)"
266378046,2009206231,0,Abdul Gaffar Khan Marg,residential,38.371,,,False,"LINESTRING (77.1506017 28.527459, 77.1507182 28.5274268, 77.1508395 28.5274042, 77.1509853 28.5273904)"
266807256,267259947,0,,tertiary,413.43499999999995,,,False,"LINESTRING (77.191604 28.618953, 77.1933804 28.6179235, 77.1939671 28.617914, 77.1943344 28.6178905, 77.1947077 28.6178665, 77.1950692 28.6178433, 77.1954832 28.6178168)"
266807256,308888862,0,Mother Teresa Crescent,secondary,970.8099999999998,,2,True,"LINESTRING (77.191604 28.618953, 77.1914066 28.6186591, 77.191192 28.6183351, 77.1910509 28.6181044, 77.1909002 28.6178077, 77.1907382 28.6175035, 77.190574 28.6171145, 77.190471 28.6168433, 77.190368 28.6165721, 77.1902736 28.6162405, 77.1901964 28.6158789, 77.1901363 28.6154871, 77.1900676 28.6150802, 77.1900567 28.6148314, 77.1900353 28.6143401, 77.1900601 28.6137333, 77.1901426 28.6131274, 77.190277 28.6125368, 77.1904081 28.6120608, 77.1906298 28.6114615, 77.190856 28.6109894, 77.1910499 28.6106308)"
266807274,267259957,0,,residential,117.07,,,False,"LINESTRING (77.1952377 28.6218325, 77.1957632 28.6208861)"
266807274,266807256,0,Mother Teresa Crescent,secondary,483.36000000000007,,2,True,"LINESTRING (77.1952377 28.6218325, 77.1947711 28.6215975, 77.1944673 28.6214388, 77.1941532 28.6212585, 77.1938217 28.6210489, 77.1935513 28.6208855, 77.1932568 28.6206496, 77.1929934 28.6204274, 77.1927123 28.6201848, 77.1924414 28.6199159, 77.192179 28.6196461, 77.1919902 28.6194352, 77.1917928 28.619179, 77.191604 28.618953)"
266807277,267259476,0,Mother Teresa Crescent,secondary,37.741,,2,True,"LINESTRING (77.1993889 28.6237136, 77.199128 28.6235934, 77.1990465 28.6235559)"
266809747,9835234361,0,Kautilya Marg,tertiary,10.211,,,True,"LINESTRING (77.1874331 28.6060281, 77.1873521 28.6060862)"
266809747,10302340970,0,Sardar Patel Marg,secondary,79.313,,2,True,"LINESTRING (77.1874331 28.6060281, 77.1873626 28.6059672, 77.1868539 28.6055279)"
267075193,939091207,0,,secondary,103.386,,5,True,"LINESTRING (77.2317714 28.6160961, 77.2320068 28.6159459, 77.2326282 28.6155495)"
267075194,6153253308,0,,tertiary_link,10.308,,,False,"LINESTRING (77.2312989 28.6166789, 77.2314044 28.6166748)"
267075194,883993802,0,Copernicus Marg,tertiary,107.09700000000001,,2,True,"LINESTRING (77.2312989 28.6166789, 77.2313035 28.6167299, 77.2313647 28.6176403)"
267075196,6689054519,0,Kartavya Path,secondary,275.379,,,False,"LINESTRING (77.2276662 28.6130207, 77.2248482 28.6131362)"
267075196,1873490489,0,,secondary,116.32,,,True,"LINESTRING (77.2276662 28.6130207, 77.2276812 28.6132235, 77.2277545 28.6140639)"
267075198,267196331,0,rotary no 15,secondary,45.425,,,True,"LINESTRING (77.2249129 28.6099506, 77.2249146 28.6098689, 77.2248896 28.6097902, 77.2248399 28.6097211, 77.2247699 28.6096674, 77.2246852 28.6096334)"
267075227,1870091896,0,,secondary,294.614,,4,True,"LINESTRING (77.2346634 28.6140115, 77.2345604 28.6127596, 77.2345549 28.6126724, 77.2345498 28.6125785, 77.2345046 28.6114969, 77.2344893 28.6113669)"
267075233,6643524960,0,rotary no 4,secondary,49.27,,,True,"LINESTRING (77.2251165 28.6166453, 77.2252004 28.6166063, 77.2252448 28.6165679, 77.2252679 28.6165478, 77.2253137 28.6164749, 77.2253337 28.6163935, 77.2253171 28.6162845)"
267086487,271335992,0,,tertiary,20.746,,1,False,"LINESTRING (77.1464762 28.4927058, 77.1465825 28.4925443)"
267086487,4169349995,0,Acharya Shri Tulsi Marg,trunk,149.437,50,2,True,"LINESTRING (77.1464762 28.4927058, 77.1478455 28.493304)"
